;Malade;Etablissement;Distance
551;Ussel;BORT LES ORGUES;21.721029425632317
557;Bort-les-Orgues;BORT LES ORGUES;0.0
558;Égletons;BORT LES ORGUES;35.47078848989036
4600;Le Teil;DIEULEFIT;30.52225552815947
4601;Le Pouzin;DIEULEFIT;36.0098563054579
4602;Chomérac;DIEULEFIT;38.06069084723104
4603;Bourg-Saint-Andéol;DIEULEFIT;37.4695658723847
4608;Guilherand-Granges;DIEULEFIT;48.01453567737733
4611;Charmes-sur-Rhône;DIEULEFIT;41.864011751861504
4613;Villeneuve-de-Berg;DIEULEFIT;45.14466216492048
4614;La Voulte-sur-Rhône;DIEULEFIT;38.1109974679777
4617;Cruas;DIEULEFIT;28.264435700623515
4618;Privas;DIEULEFIT;43.854329776248605
5156;Livron-sur-Drôme;DIEULEFIT;32.73481783107642
5159;Châteauneuf-du-Rhône;DIEULEFIT;27.782282897095865
5160;Montmeyran;DIEULEFIT;35.07380161917769
5162;Malissard;DIEULEFIT;42.76405987785216
5163;Donzère;DIEULEFIT;29.821756868332194
5164;Chabeuil;DIEULEFIT;42.05220592277983
5165;Étoile-sur-Rhône;DIEULEFIT;37.35889021172409
5167;Aouste-sur-Sye;DIEULEFIT;21.3374974549079
5168;Beaumont-lès-Valence;DIEULEFIT;38.93420102147893
5169;Loriol-sur-Drôme;DIEULEFIT;31.883159953389036
5170;Portes-lès-Valence;DIEULEFIT;41.85400568864389
5171;Montélier;DIEULEFIT;46.20251148115916
5178;Nyons;DIEULEFIT;19.339793781584927
5181;Montélimar;DIEULEFIT;25.33571384177146
5184;Saint-Paul-Trois-Châteaux;DIEULEFIT;30.570542942234937
5185;Bourg-lès-Valence;DIEULEFIT;49.5908555527142
5187;Pierrelatte;DIEULEFIT;33.45942430027409
5188;Dieulefit;DIEULEFIT;0.0
5190;Crest;DIEULEFIT;22.996912685474356
5417;Pont-Saint-Esprit;DIEULEFIT;44.91969070437805
7592;Beauvallon;DIEULEFIT;39.260031242671815
8290;Aubignan;DIEULEFIT;47.32395586413989
8293;Caromb;DIEULEFIT;45.994251645826616
8298;Sainte-Cécile-les-Vignes;DIEULEFIT;33.96740805319386
8299;Lapalud;DIEULEFIT;38.66443620088907
8300;Sérignan-du-Comtat;DIEULEFIT;41.1521914753899
8309;Bollène;DIEULEFIT;37.01320429063647
8313;Bédoin;DIEULEFIT;45.36041904705822
8315;Camaret-sur-Aigues;DIEULEFIT;42.72661159407398
8316;Mondragon;DIEULEFIT;42.327251691527486
8322;Sarrians;DIEULEFIT;49.56296056372265
8327;Valréas;DIEULEFIT;16.537914906470405
8329;Vaison-la-Romaine;DIEULEFIT;31.469431260189296
8331;Piolenc;DIEULEFIT;45.329652267612246
8333;Malaucène;DIEULEFIT;39.31442990175171
9612;Gisors;TAVERNY;42.87153473378995
9639;Gasny;TAVERNY;45.75655885230642
9644;Vexin-sur-Epte;TAVERNY;48.54247053525821
